date,close
2024-01-02,8.41
2024-01-03,8.4
2024-01-04,8.32
2024-01-05,8.47
2024-01-08,8.36
2024-01-09,8.38
2024-01-10,8.3
2024-01-11,8.38
2024-01-12,8.39
2024-01-15,8.41
2024-01-16,8.53
2024-01-17,8.43
2024-01-18,8.4
2024-01-19,8.38
2024-01-22,8.31
2024-01-23,8.37
2024-01-24,8.52
2024-01-25,8.68
2024-01-26,8.79
2024-01-29,8.86
2024-01-30,8.68
2024-01-31,8.64
2024-02-01,8.59
2024-02-02,8.47
2024-02-05,8.57
2024-02-06,8.84
2024-02-07,8.78
2024-02-08,8.83
2024-02-19,8.96
2024-02-20,8.97
2024-02-21,9.86
2024-02-22,9.96
2024-02-23,9.91
2024-02-26,9.62
2024-02-27,9.59
2024-02-28,9.58
2024-02-29,9.67
2024-03-01,9.58
2024-03-04,9.43
2024-03-05,9.53
2024-03-06,9.43
2024-03-07,9.48
2024-03-08,9.48
2024-03-11,9.56
2024-03-12,9.65
2024-03-13,9.43
2024-03-14,9.34
2024-03-15,9.68
2024-03-18,9.63
2024-03-19,9.5
2024-03-20,9.54
2024-03-21,9.56
2024-03-22,9.46
2024-03-25,9.5
2024-03-26,9.68
2024-03-27,9.62
2024-03-28,9.58
2024-03-29,9.61
2024-04-01,9.72
2024-04-02,9.64
2024-04-03,9.55
2024-04-08,9.53
2024-04-09,9.5
2024-04-10,9.39
2024-04-11,9.36
2024-04-12,9.19
2024-04-15,9.4
2024-04-16,9.39
2024-04-17,9.7
2024-04-18,9.86
2024-04-19,9.76
2024-04-22,9.59
2024-04-23,9.63
2024-04-24,9.62
2024-04-25,9.69
2024-04-26,9.68
2024-04-29,9.87
2024-04-30,9.86
2024-05-06,9.95
2024-05-07,9.94
2024-05-08,9.8
2024-05-09,9.83
2024-05-10,9.99
2024-05-13,10.02
2024-05-14,9.96
2024-05-15,9.89
2024-05-16,10.2
2024-05-17,10.43
2024-05-20,10.39
2024-05-21,10.55
2024-05-22,10.56
2024-05-23,10.41
2024-05-24,10.33
2024-05-27,10.51
2024-05-28,10.41
2024-05-29,10.28
2024-05-30,10.16
2024-05-31,10.15
